35 generic
0 0 4
0 1 0
0 2 0
0 3 5
0 4 0
0 5 1
0 6 3
0 7 3
0 8 4
0 9 0
0 10 2
0 11 0
0 12 0
0 13 5
0 14 0
0 15 0
0 16 0
0 17 0
0 18 0
0 19 5
0 20 0
0 21 0
0 22 0
0 23 0
0 24 0
0 25 0
0 26 0
0 27 0
0 28 0
0 29 0
0 30 0
0 31 1
0 32 0
0 33 0
0 34 3
1 0 4
1 1 0
1 2 3
1 3 0
1 4 0
1 5 5
1 6 0
1 7 2
1 8 1
1 9 0
1 10 0
1 11 0
1 12 5
1 13 0
1 14 0
1 15 2
1 16 4
1 17 5
1 18 1
1 19 3
1 20 0
1 21 0
1 22 4
1 23 4
1 24 2
1 25 3
1 26 0
1 27 0
1 28 1
1 29 0
1 30 0
1 31 0
1 32 0
1 33 0
1 34 2
2 0 3
2 1 0
2 2 1
2 3 3
2 4 0
2 5 0
2 6 0
2 7 0
2 8 0
2 9 0
2 10 4
2 11 4
2 12 0
2 13 0
2 14 0
2 15 5
2 16 5
2 17 5
2 18 0
2 19 5
2 20 2
2 21 0
2 22 0
2 23 0
2 24 3
2 25 0
2 26 3
2 27 5
2 28 0
2 29 1
2 30 5
2 31 2
2 32 4
2 33 3
2 34 5
3 0 3
3 1 0
3 2 5
3 3 2
3 4 2
3 5 3
3 6 2
3 7 3
3 8 1
3 9 0
3 10 1
3 11 0
3 12 0
3 13 0
3 14 0
3 15 1
3 16 0
3 17 3
3 18 0
3 19 1
3 20 0
3 21 3
3 22 4
3 23 0
3 24 0
3 25 0
3 26 0
3 27 1
3 28 5
3 29 0
3 30 2
3 31 3
3 32 3
3 33 1
3 34 0
4 0 0
4 1 0
4 2 0
4 3 2
4 4 0
4 5 0
4 6 0
4 7 0
4 8 0
4 9 3
4 10 0
4 11 1
4 12 4
4 13 0
4 14 0
4 15 0
4 16 4
4 17 0
4 18 0
4 19 3
4 20 0
4 21 0
4 22 5
4 23 0
4 24 2
4 25 0
4 26 3
4 27 3
4 28 0
4 29 0
4 30 0
4 31 3
4 32 5
4 33 0
4 34 0
5 0 0
5 1 0
5 2 0
5 3 0
5 4 1
5 5 0
5 6 0
5 7 5
5 8 2
5 9 2
5 10 0
5 11 5
5 12 0
5 13 2
5 14 1
5 15 0
5 16 2
